Owner Name,County,Address,Price,Sold Date,Agent Phone
N/A,Davidson,"5615 A  TENNESSEE  AVE, NASHVILLE, TN","$680,000",12/29/2025,N/A
N/A,Davidson,"1510   56TH  AVE N, NASHVILLE, TN","$975,000",12/30/2025,N/A
N/A,Davidson,"6034   MILL TREE  CT, NASHVILLE, TN","$489,900",12/30/2025,N/A
N/A,Davidson,"6038   MILL TREE  CT, NASHVILLE, TN","$439,900",12/30/2025,N/A
N/A,Davidson,"5809   MACKIE, NASHVILLE, TN","$290,000",12/30/2025,N/A
N/A,Davidson,"436  ANNEX  AVE, NASHVILLE, TN","$410,000",12/30/2025,N/A
N/A,Davidson,"505   COMMUNITY  CT, NASHVILLE, TN","$625,000",12/30/2025,N/A
N/A,Davidson,"2623  DELK  AVE, NASHVILLE, TN","$286,425",12/30/2025,N/A
N/A,Davidson,"3205  EWINGDALE  DR, NASHVILLE, TN","$180,000",12/23/2025,N/A
N/A,Davidson,"2136  W RICHMOND HILL  DR, NASHVILLE, TN","$179,900",12/23/2025,N/A
N/A,Davidson,"146   VALENTINE  ALY, NASHVILLE, TN","$409,990",12/29/2025,N/A
N/A,Davidson,"3260  HINKLE  DR, NASHVILLE, TN","$300,000",12/29/2025,N/A
N/A,Davidson,"805  W NOCTURNE  DR, NASHVILLE, TN","$480,000",12/29/2025,N/A
N/A,Davidson,"609   LIVE LIFE  LN, NASHVILLE, TN","$540,000",12/30/2025,N/A
N/A,Davidson,"3313  LEONDALE  TER, NASHVILLE, TN","$210,000",12/24/2025,N/A
N/A,Davidson,"147  TWO MILE  PIKE, GOODLETTSVILLE, TN","$234,200",12/30/2025,N/A
N/A,Davidson,"1209  EWING CREEK  DR, NASHVILLE, TN","$242,000",12/30/2025,N/A
N/A,Davidson,"235   DRY CREEK COMMONS  DR, GOODLETTSVILLE, TN","$314,900",12/30/2025,N/A
N/A,Davidson,"342  NESBITT  LN, MADISON, TN","$341,000",12/23/2025,N/A
N/A,Davidson,"716  N DUPONT  AVE, MADISON, TN","$350,500",12/23/2025,N/A
N/A,Davidson,"722  N DUPONT  AVE, MADISON, TN","$370,500",12/23/2025,N/A
N/A,Davidson,"914 B  CAHAL  AVE, NASHVILLE, TN","$730,000",12/23/2025,N/A
N/A,Davidson,"1207  SHELTON  AVE, NASHVILLE, TN","$500,000",12/23/2025,N/A
N/A,Davidson,"3036  HILLSIDE  RD, NASHVILLE, TN","$180,000",12/23/2025,N/A
N/A,Davidson,"313  CHERRY  ST, MADISON, TN","$198,000",12/23/2025,N/A
N/A,Davidson,"612  MAY  DR, MADISON, TN","$460,000",12/23/2025,N/A
N/A,Davidson,"1708  LITTON  AVE, NASHVILLE, TN","$489,900",12/23/2025,N/A
N/A,Davidson,"207   DAYDREAMER  LN, NASHVILLE, TN","$879,000",12/23/2025,N/A
N/A,Davidson,"718  N DUPONT  AVE, MADISON, TN","$350,500",12/23/2025,N/A
N/A,Davidson,"710  RIVER  PASS, MADISON, TN","$242,000",12/24/2025,N/A
N/A,Davidson,"2307 C  BURNS  ST, NASHVILLE, TN","$1,404,000",12/26/2025,N/A
N/A,Davidson,"737  HERITAGE  DR, MADISON, TN","$215,000",12/26/2025,N/A
N/A,Davidson,"2307 A  BURNS  ST, NASHVILLE, TN","$1,404,000",12/26/2025,N/A
N/A,Davidson,"3348   CONVISER  DR, NASHVILLE, TN","$440,000",12/26/2025,N/A
N/A,Davidson,"2307 B  BURNS  ST, NASHVILLE, TN","$1,404,000",12/26/2025,N/A
N/A,Davidson,"835  NEELYS CHASE  DR, MADISON, TN","$329,900",12/26/2025,N/A
N/A,Davidson,"1408  MCGAVOCK  PIKE, NASHVILLE, TN","$515,000",12/29/2025,N/A
N/A,Davidson,"335  MAPLE  ST, MADISON, TN","$275,000",12/29/2025,N/A
N/A,Davidson,"1813   FOREST  AVE, NASHVILLE, TN","$805,000",12/29/2025,N/A
N/A,Davidson,"2637 A  PENNINGTON  AVE, NASHVILLE, TN","$649,000",12/29/2025,N/A
N/A,Davidson,"2916  RICH ACRES  DR, NASHVILLE, TN","$485,000",12/29/2025,N/A
N/A,Davidson,"613   RICHMOND  BND, NASHVILLE, TN","$525,000",12/29/2025,N/A
N/A,Davidson,"713  S 13TH  ST, NASHVILLE, TN","$725,000",12/29/2025,N/A
N/A,Davidson,"1003 A  DELMAS  AVE, NASHVILLE, TN","$700,225",12/30/2025,N/A
N/A,Davidson,"932 A  ELVIRA  AVE, NASHVILLE, TN","$675,000",12/30/2025,N/A
N/A,Davidson,"1317  ARDEE  AVE, NASHVILLE, TN","$650,000",12/30/2025,N/A
N/A,Davidson,"1038  SHARPE  AVE, NASHVILLE, TN","$415,000",12/30/2025,N/A
N/A,Davidson,"996  MAPLEWOOD  PL, NASHVILLE, TN","$325,900",12/30/2025,N/A
N/A,Davidson,"1058  GWYNN  DR, NASHVILLE, TN","$610,000",12/30/2025,N/A
N/A,Davidson,"204 A MYRTLE  ST, NASHVILLE, TN","$635,000",12/30/2025,N/A
N/A,Davidson,"3805 A BURRUS  ST, NASHVILLE, TN","$389,000",12/30/2025,N/A
N/A,Davidson,"142  PIEDMONT  AVE, NASHVILLE, TN","$649,000",12/30/2025,N/A
N/A,Davidson,"613  ATLANTA  DR, HERMITAGE, TN","$270,000",12/23/2025,N/A
N/A,Davidson,"4816  IRVING  LN, NASHVILLE, TN","$412,000",12/23/2025,N/A
N/A,Davidson,"1140   LADY NASHVILLE  DR, HERMITAGE, TN","$400,000",12/23/2025,N/A
N/A,Davidson,"768  KENT  RD, NASHVILLE, TN","$285,900",12/23/2025,N/A
N/A,Davidson,"805  BEXHILL  CT N, HERMITAGE, TN","$359,900",12/23/2025,N/A
N/A,Davidson,"605  HIBBITTS  CT, NASHVILLE, TN","$327,500",12/29/2025,N/A
N/A,Davidson,"5053   DAYFLOWER  DR, HERMITAGE, TN","$350,000",12/29/2025,N/A
N/A,Davidson,"5046   DAYFLOWER  DR, HERMITAGE, TN","$369,990",12/29/2025,N/A
N/A,Davidson,"408  SPRINGVIEW  DR, NASHVILLE, TN","$633,000",12/29/2025,N/A
N/A,Davidson,"607   TULIP SPRINGS  CT, HERMITAGE, TN","$433,400",12/29/2025,N/A
N/A,Davidson,"916  COINTREAU  DR, HERMITAGE, TN","$415,000",12/29/2025,N/A
N/A,Davidson,"1436  RIVERBROOK  DR, HERMITAGE, TN","$313,000",12/29/2025,N/A
N/A,Davidson,"168  TULIP GROVE  PT, HERMITAGE, TN","$483,900",12/29/2025,N/A
N/A,Davidson,"1609   JOSIE  CT, HERMITAGE, TN","$438,320",12/29/2025,N/A
N/A,Davidson,"4743  TRENTON  DR, HERMITAGE, TN","$415,000",12/29/2025,N/A
N/A,Davidson,"3942  HOGGETT FORD  RD, HERMITAGE, TN","$308,000",12/29/2025,N/A
N/A,Davidson,"1508  ELLISTON  ST, OLD HICKORY, TN","$307,500",12/29/2025,N/A
N/A,Davidson,"128  THISTLE  LN, HERMITAGE, TN","$243,000",12/29/2025,N/A
N/A,Davidson,"3213  CLOVERWOOD  DR, NASHVILLE, TN","$290,000",12/29/2025,N/A
N/A,Davidson,"1873  STONEWATER  DR, HERMITAGE, TN","$510,000",12/29/2025,N/A
N/A,Davidson,"2502  TIMWOOD  DR, NASHVILLE, TN","$460,000",12/30/2025,N/A
N/A,Davidson,"2636  WINDEMERE  DR, NASHVILLE, TN","$405,000",12/30/2025,N/A
N/A,Davidson,"2989  MCGAVOCK  PIKE, NASHVILLE, TN","$405,000",12/30/2025,N/A
N/A,Davidson,"5216   GLADECRESS  LN, HERMITAGE, TN","$327,480",12/30/2025,N/A
N/A,Davidson,"1316   DODSON  ST, OLD HICKORY, TN","$440,000",12/30/2025,N/A
N/A,Davidson,"0   TYLER  DR, HERMITAGE, TN","$1,400,000",12/30/2025,N/A
